tau,0.498,0.874,0.992,1.0,n0s0
0.0,-15.500022030096762,-19.05017275466728,-21.7738393743417,-22.044265391214076,-12.034630997203697
4.1666666666666665e-05,-15.499902571449569,-19.049531446007638,-21.77241066900627,-22.042726819937194,
8.333333333333333e-05,-15.499546088831462,-19.047580816672003,-21.76812193333791,-22.03812366483286,
0.000125,-15.498950233606216,-19.04439458827734,-21.761002522260195,-22.030467042858987,
0.00016666666666666666,-15.498121205726088,-19.039908838619123,-21.75104617481795,-22.019774107499565,
0.00020833333333333332,-15.497053832540253,-19.034151335163887,-21.738297722978604,-22.006074605380554,
0.00025,-15.495745549107777,-19.02713381237428,-21.72277310733451,-21.989402253500984,
0.00029166666666666664,-15.494204738246552,-19.01886262931823,-21.70451837444976,-21.969800843441767,
0.0003333333333333333,-15.492442361293552,-19.00934863649377,-21.68357093043681,-21.947317296598648,
0.000375,-15.490439072499658,-18.99861206736829,-21.659984012527957,-21.922008214303254,
0.00041666666666666664,-15.488204695827964,-18.986654066802522,-21.633811577419223,-21.893945696511953,
0.0004583333333333333,-15.485741714749754,-18.97351295268332,-21.60511351516852,-21.863171267095716,
0.0005,-15.4830503661458,-18.95918743546411,-21.57395362747517,-21.82978283563085,
0.0005416666666666666,-15.480133911441829,-18.943704373697766,-21.540402125443908,-21.793852717784677,
0.0005833333333333333,-15.476993989255483,-18.927082265331123,-21.50453448842841,-21.755452837887486,
0.000625,-15.473632457012048,-18.909348205786607,-21.46642231377693,-21.714681784270084,
0.0006666666666666666,-15.470052101901654,-18.89052076855969,-21.426147685489386,-21.671628176199526,
0.0007083333333333333,-15.46625428615824,-18.870625438148725,-21.383791892286418,-21.626363937966474,
0.00075,-15.46224742278138,-18.84968849936111,-21.33943893811019,-21.579004363942307,
0.0007916666666666666,-15.458022339146185,-18.82773619192892,-21.293175330280036,-21.529637477839234,
0.0008333333333333333,-15.453589026467435,-18.804780530322002,-21.245102290402905,-21.478350615292456,
0.000875,-15.448955521919252,-18.780895901530272,-21.195264311718795,-21.425269028485737,
0.0009166666666666666,-15.444119154920813,-18.75606534170679,-21.143795200598852,-21.370467127472715,
0.0009583333333333333,-15.43908315959795,-18.730332399938384,-21.09076504869051,-21.31403567433602,
0.001,-15.43384678918722,-18.70372864404917,-21.036266055334632,-21.256096012502674,
0.0010416666666666667,-15.42842375700018,-18.67628361593405,-20.980388041448876,-21.196730579378666,
0.0010833333333333333,-15.422810763881671,-18.64802920689068,-20.923220074101977,-21.136033717920355,
0.001125,-15.417010573168891,-18.618998651174202,-20.864827112413145,-21.074103894032994,
0.0011666666666666665,-15.411029646369748,-18.589212517306628,-20.80531993752183,-21.011031010521044,
0.0012083333333333334,-15.404866539531266,-18.5587147209606,-20.744772048988168,-20.946903893029976,
0.00125,-15.398537321267536,-18.527532262884634,-20.683264077172993,-20.881817193637843,
0.0012916666666666667,-15.392033929596302,-18.495697362664426,-20.620882982917262,-20.81584899717242,
0.0013333333333333333,-15.385363805130797,-18.463238669065337,-20.55769352429558,-20.749086714815917,
0.001375,-15.378528658080475,-18.43019097010127,-20.493788250815804,-20.68161099639838,
0.0014166666666666666,-15.37154422125504,-18.39658328493496,-20.42923000401935,-20.61350336777382,
0.0014583333333333332,-15.3643953305377,-18.362447507787447,-20.36406956869865,-20.544828807494625,
0.0015,-15.357098153261802,-18.327820450095363,-20.298427936325,-20.47567062510978,
0.0015416666666666667,-15.349656723232282,-18.29271217115118,-20.232324597968137,-20.40609485733654,
0.0015833333333333333,-15.342072732428393,-18.257176825584466,-20.165845099014874,-20.336177036276833,
0.001625,-15.334344635935945,-18.221228087611326,-20.099039163955425,-20.265953630054486,
0.0016666666666666666,-15.326493848912827,-18.18489826869945,-20.03196793565764,-20.195524616143274,
0.0017083333333333332,-15.318508520549642,-18.148217210631326,-19.964694002653808,-20.12493220572916,
0.00175,-15.310396756651652,-18.11121802608139,-19.89726911699162,-20.05421502540955,
0.0017916666666666667,-15.302164253600736,-18.07392021019873,-19.82974249037194,-19.983446051570834,
0.0018333333333333333,-15.293814356466077,-18.0363531595152,-19.762163764285038,-19.9126789439328,
