tau,S0,Spi
0.0,-10.37247452322558,-24.211132671583094
0.0001,-11.20650516744627,-24.080183191669494
0.0002,-13.894513112403434,-23.681920088328212
0.00030000000000000003,-16.919874277639337,-22.998695841517332
0.0004,-19.108948814508008,-21.995782323471033
0.0005,-20.61106590620583,-20.611065904702606
0.0006000000000000001,-21.62515454298734,-18.73665799779518
0.0007000000000000001,-22.268939309164118,-16.21432137746091
0.0008,-22.61122999539866,-13.16563055813316
0.0009000000000000001,-22.692672378984962,-11.013053787715103
0.001,-22.53581369059695,-10.448692655433792
0.0011,-22.14966374889673,-10.981064007763754
0.0012000000000000001,-21.53114170668411,-12.617495158951378
0.0013000000000000002,-20.66431052033437,-14.822364647858798
0.0014000000000000002,-19.51786108127392,-16.692868636241208
0.0015,-18.043186680820423,-18.043186671510444
0.0016,-16.19005269556627,-18.966949935486927
0.0017000000000000001,-14.028326945505567,-19.5552008551623
0.0018000000000000002,-12.079999617671513,-19.8675686048938
0.0019000000000000002,-11.012417829694067,-19.94014078373707
0.002,-10.759009694858959,-19.792784904057942
0.0021000000000000003,-11.043845091217914,-19.433403496857746
0.0022,-11.891983612708755,-18.860252972717298
0.0023000000000000004,-13.202529430485834,-18.063578838016188
0.0024000000000000002,-14.588284132384041,-17.029613195583334
0.0025,-15.755152833694233,-15.755152832846047
0.0026000000000000003,-16.62703698002483,-14.294906472051988
0.0027,-17.219803666823562,-12.85221314120897
0.0028000000000000004,-17.56429266904893,-11.759009982093666
0.0029000000000000002,-17.6856116162535,-11.190519957174317
0.003,-17.600294858703528,-11.05185244701791
0.0031000000000000003,-17.31753262119986,-11.227434542196784
0.0032,-16.84152283815633,-11.72651295780986
0.0033000000000000004,-16.175599892653217,-12.521878037320633
0.0034000000000000002,-15.330935003242958,-13.456485149792503
0.0035,-14.345277635990168,-14.34527763712457
0.0036000000000000003,-13.311644373556263,-15.076374119086413
0.0037,-12.386340289738754,-15.610659478364152
0.0038000000000000004,-11.7215065670756,-15.944785703711396
0.0039000000000000003,-11.36757748626838,-16.086813011449575
0.004,-11.276723766008537,-16.046425213654533
0.0041,-11.400749103755373,-15.832549392223111
0.004200000000000001,-11.735274253788088,-15.454561270511732
0.0043,-12.260957715058726,-14.926486828463851
0.0044,-12.900859323829344,-14.274788257887256
0.0045000000000000005,-13.549263230106563,-13.549263229809466
0.004600000000000001,-14.11914610787862,-12.829649099237328
0.0047,-14.560370317710857,-12.21200234707392
0.0048000000000000004,-14.851866065160625,-11.770677969145956
0.004900000000000001,-14.988793619873375,-11.527673852402682
0.005,-14.974119953800933,-11.464043900268884
0.0051,-14.815142089603485,-11.558225158719083
0.005200000000000001,-14.523551998272575,-11.800620423433351
0.005300000000000001,-14.118062475252575,-12.172197198982534
0.0054,-13.628724382642872,-12.62684702101793
0.0055,-13.100583667671163,-13.100583666223972
0.005600000000000001,-12.591750743070698,-13.53297754577715
0.0057,-12.161342331395474,-13.880817701271631
0.0058000000000000005,-11.851367303003723,-14.11951726902377
0.005900000000000001,-11.676549731829722,-14.23856028225881
0.006,-11.631364144700465,-14.236761615382056
0.0061,-11.705196606582557,-14.119582777907361
0.006200000000000001,-11.887642436708557,-13.898616365724038
0.006300000000000001,-12.160930978641957,-13.59258727952577
0.0064,-12.493387976078175,-13.228813011909216
0.006500000000000001,-12.843258246738936,-12.843258245490276
0.006600000000000001,-13.168850712857889,-12.476944223775225
0.0067,-13.436833887230009,-12.168171750585902
0.0068000000000000005,-13.625290456829934,-11.943870468416836
0.006900000000000001,-13.722842838972888,-11.815804418595068
0.007,-13.726592182434299,-11.783920348390076
0.0071,-13.640531775190269,-11.842372066371423
0.007200000000000001,-13.47488133956994,-11.981711525856479
0.007300000000000001,-13.246065287609401,-12.186527542883972
0.0074,-12.976615826499451,-12.433556099462933
0.0075,-12.69392296674027,-12.693922970080308
0.007600000000000001,-12.427070821188646,-12.938358065525081
0.0077,-12.202133649558194,-13.142105170481685
0.0078000000000000005,-12.037805788949662,-13.287527347580706
0.0079,-11.943656483957866,-13.364561065985923
0.008,-11.921464009566808,-13.370060298887395
0.0081,-11.967618682686359,-13.306975533875773
0.0082,-12.074182852062194,-13.18373558716473
0.0083,-12.228485860522705,-13.013770186957807
0.008400000000000001,-12.413037773053684,-12.814764993609938
0.0085,-12.607164297632504,-12.607164296477077
0.0086,-12.789970790129832,-12.411813840809717
0.008700000000000001,-12.943312802645119,-12.247074122913798
0.0088,-13.05367246230045,-12.126428564565778
0.0089,-13.112954088134126,-12.057457170302833
0.009000000000000001,-13.118417789707216,-12.042247504318926
