tau,SNR
0.0,-22.097603630971953
0.0001,-22.091337802537808
0.0002,-22.072611739060157
0.0003,-22.041628899450277
0.0004,-21.998724738077094
0.0005,-21.944357637870606
0.0006,-21.879085178311012
0.0007,-21.8035558353659
0.0008,-21.71848315181931
0.0009,-21.624651040657568
0.001,-21.52285050681265
0.0011,-21.413897933053256
0.0012,-21.29862266530949
0.0013,-21.177829471006
0.0014,-21.05230150337635
0.0015,-20.922790906775894
0.0016,-20.790008648093632
0.0017,-20.654622052361802
0.0018,-20.517251013898317
0.0019,-20.378468133358393
0.002,-20.238793216402033
0.0021,-20.098700456204842
0.0022,-19.95861714366587
0.0023,-19.81892893276908
0.0024,-19.67996327802455
0.0025,-19.542031902230953
0.0026,-19.40539217968328
0.0027,-19.27028052588402
0.0028,-19.136887957319356
0.0029,-19.005386550790863
0.003,-18.8759112669688
0.0031,-18.748611492193373
0.0032,-18.623557993811104
0.0033,-18.500842060808754
0.0034,-18.380530151473497
0.0035,-18.26266494210024
0.0036,-18.147289205224226
0.0037,-18.034427283131322
0.0038,-17.924086313534005
0.0039,-17.81627936980146
0.004,-17.710998177112746
0.0041,-17.60823496929877
0.0042,-17.507973898321577
0.0043,-17.410190304989086
0.0044,-17.314861758593423
0.0045,-17.22195770758565
0.0046,-17.131442206898534
0.0047,-17.043282831782797
0.0048,-16.957438540498092
0.0049,-16.873870326552854
0.005,-16.792537086003318
0.0051,-16.71339151699897
0.0052,-16.636393672273098
0.0053,-16.561496882065075
0.0054,-16.488655670473538
0.0055,-16.41782189205719
0.0056,-16.348956846753453
0.0057,-16.282008504002526
0.0058,-16.21693067967179
0.0059,-16.153679380417735
0.006,-16.092210037357006
0.0061,-16.03247858676145
0.0062,-15.974439685557986
0.0063,-15.918050557239132
0.0064,-15.863267741800309
0.0065,-15.810049852231046
0.0066,-15.758355744591132
0.0067,-15.708152751299696
0.0068,-15.659375057708978
0.0069,-15.612010574103493
0.007,-15.566012079086109
0.0071,-15.521340597103535
0.0072,-15.477964881529704
0.0073,-15.435844037724973
0.0074,-15.39494409992848
0.0075,-15.355234683497475
0.0076,-15.316678312104127
