rho,S0,Spi
-1.0,-21.52372509439325,-9.837425094393254
-0.9,-18.706225094393247,-10.174425094393243
-0.8,-17.261625094393253,-10.517425094393246
-0.65,-15.731725094393248,-10.457725094393254
-0.5,-14.658625094393244,-10.899025094393252
-0.25,-13.898925094393249,-11.424925094393245
0.0,-12.966425094393244,-12.053625094393254
0.25,-12.371025094393246,-13.534325094393253
0.5,-11.801525094393256,-14.219925094393247
0.65,-11.286925094393254,-15.520925094393249
0.8,-10.664125094393256,-18.122925094393253
0.9,-10.527125094393256,-19.093625094393246
1.0,-10.346525094393243,-23.82942509439325
