rho,S0,Spi
-1.0,-22.51820859476238,-10.015319326328342
-0.9,-19.20798514069125,-10.34092235344917
-0.8,-17.385935660833077,-10.669651382651288
-0.65,-15.658419064906937,-11.033500474279982
-0.5,-14.514300897314374,-11.334567546560194
-0.25,-13.256833022797462,-11.83218488073053
0.0,-12.43210890832193,-12.43210890832193
0.25,-11.83218488073053,-13.256833022797462
0.5,-11.334567546560194,-14.514300897314374
0.65,-11.033500474279982,-15.658419064906937
0.8,-10.669651382651288,-17.385935660833077
0.9,-10.34092235344917,-19.20798514069125
1.0,-10.015319326328342,-22.51820859476238
