tau,n_0_s_tau,n_pi_s_tau,n_tau_s_0,n_tau_s_pi
0.0,-28.21662509439325,-15.817225094393251,-15.164625094393251,-28.120425094393255
0.000125,-28.182225094393253,-16.993625094393252,-16.89552509439325,-28.11812509439325
0.00025,-28.20932509439325,-20.62222509439325,-20.05372509439325,-27.987725094393255
0.000375,-27.121625094393252,-23.076525094393254,-22.65022509439325,-25.387725094393254
0.0005,-26.579925094393253,-26.38632509439325,-24.125725094393253,-24.51942509439325
0.000625,-23.237425094393252,-27.06912509439325,-26.127925094393255,-21.75922509439325
0.00075,-20.96192509439325,-28.168925094393252,-25.836525094393252,-19.127425094393253
0.0008749999999999999,-17.095325094393253,-28.131525094393254,-26.09462509439325,-16.687825094393254
0.001,-15.870125094393252,-28.206225094393254,-25.75102509439325,-15.53102509439325
0.001125,-16.902225094393252,-28.124825094393252,-25.72862509439325,-16.298425094393252
0.00125,-20.908325094393255,-28.17102509439325,-24.54062509439325,-18.82962509439325
0.001375,-23.098125094393254,-27.01392509439325,-24.248225094393256,-20.142225094393254
0.0015,-26.42482509439325,-26.58772509439325,-22.384725094393254,-21.87182509439325
0.001625,-26.99892509439325,-23.10962509439325,-20.45122509439325,-23.633425094393253
0.0017499999999999998,-28.04192509439325,-20.899025094393252,-19.517425094393253,-24.432925094393255
0.001875,-28.08732509439325,-16.840225094393254,-16.46382509439325,-24.84742509439325
0.002,-28.14402509439325,-15.74762509439325,-16.147125094393253,-24.684825094393254
0.0021249999999999997,-28.087225094393254,-16.82192509439325,-17.122925094393253,-25.09972509439325
0.00225,-28.17272509439325,-20.788225094393255,-17.05202509439325,-23.782425094393254
0.002375,-27.01642509439325,-23.127925094393255,-19.89382509439325,-22.36902509439325
0.0025,-26.58602509439325,-26.430725094393253,-21.185225094393253,-21.59712509439325
0.0026249999999999997,-23.445725094393254,-26.989825094393254,-22.84542509439325,-19.89532509439325
0.00275,-20.808325094393254,-28.08492509439325,-22.650725094393252,-18.22532509439325
0.002875,-16.88932509439325,-28.069625094393253,-23.472325094393256,-16.908225094393252
0.003,-15.777425094393251,-28.143925094393254,-23.078225094393254,-15.013925094393251
0.0031249999999999997,-16.858425094393255,-28.10292509439325,-23.353225094393252,-15.49272509439325
0.00325,-20.47152509439325,-28.07192509439325,-21.865425094393252,-15.586625094393249
0.003375,-23.021725094393254,-26.93722509439325,-19.856525094393255,-17.476525094393253
0.0034999999999999996,-25.949525094393252,-26.502025094393254,-19.593825094393253,-17.69882509439325
0.0036249999999999998,-26.96552509439325,-22.96212509439325,-17.245225094393255,-20.16582509439325
0.00375,-28.069825094393252,-20.502425094393253,-17.265525094393254,-19.90712509439325
0.003875,-28.05582509439325,-16.779625094393253,-16.41012509439325,-20.963025094393252
0.004,-28.175425094393255,-15.700725094393249,-17.54192509439325,-21.762525094393254
0.004125,-28.084225094393254,-16.838325094393255,-15.054225094393253,-20.34932509439325
