tau,n_0_s_tau,n_pi_s_tau,n_tau_s_0,n_tau_s_pi
0.0,-28.04561774882895,-13.864464091360432,-13.864464091360432,-28.04561774882895
0.000125,-27.883191659418998,-16.63728887263026,-16.629063386868857,-27.86772179541466
0.00025,-27.384269935963523,-20.51519811735392,-20.459408672730444,-27.322886059020345
0.000375,-26.51095185883769,-23.27187160115478,-23.13994219685992,-26.374935368160415
0.0005,-25.180460562766797,-25.18045937202033,-24.949073765929462,-24.949075169825974
0.000625,-23.271871612675042,-26.5109518691029,-26.14386174507849,-22.917282945176403
0.00075,-20.515198103588823,-27.3842699393595,-26.866243587305696,-20.055141122129967
0.0008749999999999999,-16.63728873085255,-27.88319165589033,-27.19438199686678,-16.275444273831507
0.001,-13.864464091360432,-28.04561774882895,-27.171405954082736,-13.968864488385812
0.001125,-16.63728885183861,-27.88319166009062,-26.805170372516194,-16.125848638022788
0.00125,-20.515198103588823,-27.38426993535976,-26.080045130811556,-19.4216687829453
0.001375,-23.271871599725372,-26.510951852939183,-25.01686519537072,-21.851549968694158
0.0015,-25.180460562766797,-25.180459306186684,-23.498061242137183,-23.49806118019941
0.001625,-26.51095184701193,-23.271871594112014,-21.444139181269833,-24.573167618733976
0.0017499999999999998,-27.38426993747443,-20.515198084673038,-18.76750841677468,-25.196035577679126
0.001875,-27.883191658695576,-16.637288782549962,-15.861198885252303,-25.454707186926164
0.002,-28.04561774882895,-13.864464091360432,-14.56337531703317,-25.382311402152883
0.0021249999999999997,-27.883191661120172,-16.637288833190013,-15.845818042202202,-24.99570263768006
0.00225,-27.38426993546775,-20.515198143834322,-18.223088795776622,-24.288695936983842
0.002375,-26.51095188053826,-23.27187157345022,-20.30178234151957,-23.24056426251087
0.0025,-25.180460562766797,-25.18045937202033,-21.81215786726257,-21.812157697001695
0.0026249999999999997,-23.271871630092612,-26.510951883368115,-22.826181621563435,-19.975969196556452
0.00275,-20.51519814964803,-27.384269935500683,-23.44023104419425,-17.826995827951144
0.002875,-16.637288452947942,-27.883191654065293,-23.709850063785613,-15.940973646240277
0.003,-13.864464091360432,-28.04561774882895,-23.658303852242135,-15.259789675001317
0.0031249999999999997,-16.637288629957226,-27.883191661287412,-23.315826267076854,-15.998242972057323
0.00325,-20.51519812273313,-27.384269946799897,-22.679588904119107,-17.565253554190857
0.003375,-23.271871599725372,-26.510951862995682,-21.74052623772677,-19.18749035106744
0.0034999999999999996,-25.180455612349107,-25.180459653630294,-20.49630740622579,-20.496307406647936
0.0036249999999999998,-26.51095186036777,-23.2718715704198,-18.98600463770237,-21.42764881477587
0.00375,-27.384269932745635,-20.515198084673038,-17.406054776297502,-22.011251162522246
0.003875,-27.883191660981122,-16.637288801271083,-16.200714340695498,-22.28287217227458
0.004,-28.04561774882895,-13.864464091360432,-15.807196706588481,-22.26802100845537
0.004125,-27.883191659418998,-16.6372888716886,-16.27213159997908,-21.981972421340416
